Song Title,Album,Artist,Composer,Genre,Release Date,Directory Path
Eraser,Divide,Ed Sheeran,Ed Sheeran,Pop,3/3/2017,C:\Users\COLLECTION\eraser.mp3
Castle on the Hill,Divide,Ed Sheeran,Ed Sheeran,Pop,6/1/2017,C:\Users\COLLECTION\castleonthehill.mp3
Dive,Divide,Ed Sheeran,Ed Sheeran,Memphis Soul,3/3/2017,C:\Users\COLLECTION\dive.mp3
Shape of You,Divide,Ed Sheeran,Ed Sheeran,Pop,6/1/2017,C:\Users\COLLECTION\shapeofyou.mp3
Perfect,Divide,Ed Sheeran,Ed Sheeran,Pop,26/9/2017,C:\Users\COLLECTION\perfect.mp3
Galway Girl,Divide,Ed Sheeran,Ed Sheeran,Pop,17/3/2017,C:\Users\COLLECTION\galwaygirl.mp3
Happier,Divide,Ed Sheeran,Ed Sheeran,Pop,27/4/2018,C:\Users\COLLECTION\happier.mp3
New Man,Divide,Ed Sheeran,Ed Sheeran,R&B,3/3/2017,C:\Users\COLLECTION\newman.mp3
Hearts Don't Break Around Here,Divide,Ed Sheeran,Ed Sheeran,Pop,3/3/2017,C:\Users\COLLECTION\heartsdontbreak.mp3
What Do I Know,Divide,Ed Sheeran,Ed Sheeran,R&B,3/3/2017,C:\Users\COLLECTION\newman.mp3
How Would You Feel,Divide,Ed Sheeran,Ed Sheeran,Blue Eyed Soul,17/2/2017,C:\Users\COLLECTION\howwouldyoufeel.mp3
Supermarket Flowers,Divide,Ed Sheeran,Ed Sheeran,Pop,3/3/2017,C:\Users\COLLECTION\supermarketflowers.mp3
The 1,Folklore,Taylor Swift,Taylor Swift,Indie Pop,9/10/2020,C:\Users\COLLECTION\the1.mp3
Cardigan,Folklore,Taylor Swift,Taylor Swift,Indie Pop,27/7/2020,C:\Users\COLLECTION\cardigan.mp3
The Last Great American Dynasty,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\americandynasty.mp3
Exile,Folklore,Taylor Swift,Taylor Swift,Indie Pop,3/8/2020,C:\Users\COLLECTION\exile.mp3
My Tears Ricochet,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\mytearsricochet.mp3
Mirrorball,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\mirrorball.mp3
Seven,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\seven.mp3
August,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\august.mp3
This Is Me Trying,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\thisismetrying.mp3
Illicit Affairs,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\illicitaffairs.mp3
Invisible String,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\invisiblestring.mp3
Mad Woman,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\madwoman.mp3
Epiphany,Folklore,Taylor Swift,Taylor Swift,Indie Pop,24/7/2020,C:\Users\COLLECTION\epiphany.mp3
Betty,Folklore,Taylor Swift,Taylor Swift,Country,17/8/2020,C:\Users\COLLECTION\betty.mp3
